index,rank,Protocol,Domain,Primary,Path,Num_Paths,Num_Symbol
122079,5.0,0,3,4,43,4,7
491874,4.67,0,3,5,29,3,8
326560,6.02,0,3,6,9,2,4
28928,5.51,0,3,6,20,3,6
436595,6.63,0,3,5,13,2,4
345804,3.47,0,3,14,15,1,4
186336,4.31,0,3,12,32,3,6
452586,2.53,0,3,8,7,1,4
365425,5.31,0,3,9,18,3,6
211084,3.91,0,8,7,8,2,5
12740,2.85,0,3,5,23,2,5
402640,5.25,0,2,6,26,4,9
565222,1.09,0,3,9,9,2,4
55816,3.44,0,3,13,5,2,4
234305,3.51,0,9,2,32,3,8
409023,3.55,0,3,9,22,2,5
145132,4.8,0,3,7,21,4,6
193749,5.45,0,3,10,9,2,4
199305,1.41,0,3,14,9,1,5
367379,3.05,0,3,9,8,1,3
573758,0.0,0,10,12,5,2,4
308847,5.1,0,12,4,10,2,5
405748,4.22,0,6,13,10,1,4
588170,2.06,0,6,7,5,1,4
443628,4.7,0,3,10,11,1,5
561250,0.0,0,5,7,0,0,2
64550,4.57,0,16,7,6,2,4
159718,2.93,0,3,10,24,2,6
140439,5.19,0,12,3,10,2,5
353159,10.0,1,3,8,95,6,19
509424,4.63,0,3,12,9,2,4
562120,0.0,0,11,14,0,0,2
197104,4.7,0,11,8,19,2,7
105259,2.7,0,3,10,6,2,4
4796,4.53,0,3,10,13,2,4
488774,5.31,0,3,3,25,2,5
565566,2.32,0,3,10,6,1,3
195814,4.55,0,9,3,29,3,7
7548,3.5,0,3,5,11,1,5
412127,5.11,0,3,15,9,2,4
136941,5.03,0,12,4,20,4,6
436268,5.19,0,7,6,29,1,7
566241,3.06,0,3,7,16,3,5
326392,5.58,0,9,6,26,3,7
459522,5.35,0,13,6,9,2,5
565204,0.0,0,14,6,0,0,2
516269,0.0,0,3,16,12,1,5
319573,4.65,0,3,12,9,2,3
590110,3.06,0,3,10,25,2,7
599138,0.0,0,11,8,9,1,4
281883,4.57,0,5,12,17,2,6
458651,4.27,0,3,12,15,1,4
14121,3.24,0,3,9,17,1,4
161963,2.88,0,3,10,14,1,5
359994,4.57,0,10,3,13,1,5
202174,2.64,0,3,10,12,1,4
198708,3.62,0,3,13,22,4,6
105887,4.57,0,3,12,19,2,7
123810,5.96,0,3,8,10,2,4
145176,4.57,0,3,6,17,3,5
588203,2.59,0,3,6,8,1,3
99489,4.89,0,9,3,22,2,6
185135,5.01,0,3,19,9,2,5
373749,2.57,0,6,6,14,1,6
311356,1.53,0,3,5,11,2,5
366743,4.7,0,7,3,33,3,9
102529,4.26,0,3,9,22,2,5
509363,3.3,0,3,10,12,1,4
422170,4.78,0,12,3,19,2,6
374593,2.93,0,3,9,9,1,4
76473,0.0,0,10,15,8,1,4
566103,2.3,0,3,7,4,1,4
557008,2.84,0,3,14,20,3,6
343097,4.69,0,9,4,7,2,6
137487,5.83,0,3,7,10,2,4
72163,4.82,0,13,6,10,2,6
456237,5.01,0,3,9,17,4,7
274969,3.54,0,3,10,20,2,5
181601,3.96,0,3,6,13,2,5
559635,1.34,0,3,8,8,2,5
88782,4.98,0,7,3,18,2,6
323064,4.59,0,3,18,23,2,6
126999,5.72,0,13,4,12,2,5
106047,1.66,1,2,3,100,6,22
414201,4.96,0,16,6,6,2,6
561695,3.11,0,3,8,11,2,5
505078,2.26,0,3,13,13,1,4
323852,3.13,0,3,9,12,1,4
295459,6.46,0,9,4,25,4,8
568413,0.0,0,15,5,0,0,2
241300,3.46,0,3,15,12,1,6
195552,4.83,0,3,8,14,2,5
268615,4.93,0,8,7,21,2,7
470863,2.44,0,3,11,19,2,5
290177,6.37,0,8,4,15,2,5
487071,2.84,0,3,10,9,2,4
340779,3.4,0,3,12,11,2,4
566327,0.0,0,3,13,5,2,4
169484,6.42,0,3,4,24,4,6
287417,2.77,0,3,6,19,2,6
360247,2.45,0,3,4,11,2,4
130816,4.65,0,3,5,25,2,6
268396,6.65,0,6,7,18,3,7
330478,4.28,0,3,6,15,1,5
560583,0.0,0,3,4,12,2,4
265217,3.04,0,3,17,10,1,4
578695,0.0,0,3,19,12,2,5
450668,4.63,0,3,7,19,3,6
70968,4.8,0,16,7,16,2,5
272178,3.3,0,3,12,10,2,4
376766,4.85,0,3,6,37,3,7
263732,3.64,0,6,10,18,2,6
219752,3.34,0,3,6,13,2,4
305987,4.35,0,3,7,30,3,7
482961,3.95,0,3,5,19,2,5
497522,3.52,0,10,5,9,2,4
294070,4.55,0,3,6,41,4,8
324592,4.07,0,3,4,25,3,7
61577,4.57,0,3,7,9,3,4
288281,5.44,0,3,4,12,2,4
256568,4.22,0,3,21,35,2,6
408836,6.99,0,3,3,43,5,8
294780,3.48,0,3,10,22,2,5
513088,4.64,0,6,3,14,2,5
505346,4.9,0,3,4,36,5,7
327808,4.89,0,3,7,29,2,6
173987,4.52,0,3,16,24,2,5
156495,5.01,0,3,3,11,1,4
234320,3.16,0,13,4,16,2,7
213689,3.81,0,3,7,19,2,5
434921,4.08,0,3,8,10,1,4
72669,4.98,0,3,4,19,3,5
193664,2.16,0,3,12,9,1,3
485805,4.77,0,7,6,7,2,4
23151,0.0,0,3,15,13,2,5
456172,4.23,0,8,6,8,2,4
11202,5.34,0,3,8,16,2,5
159841,4.66,0,5,7,20,2,7
153821,4.7,0,8,8,13,3,6
589466,0.0,0,2,8,0,0,3
480584,4.61,0,15,3,13,3,6
99985,5.09,0,3,10,28,2,7
200135,4.54,0,13,5,32,4,10
28114,4.72,0,3,11,27,2,4
441748,4.35,0,3,20,39,2,8
129713,4.84,0,13,4,19,3,6
248098,3.99,0,2,13,20,2,5
558544,0.0,0,3,15,7,1,5
60396,4.72,0,6,2,14,3,5
280953,4.12,0,3,10,19,2,5
174062,4.4,0,3,17,7,2,4
578629,0.0,0,3,15,0,0,2
423753,5.08,0,3,5,39,5,8
264955,4.86,0,10,5,26,3,9
137686,3.13,0,3,11,11,1,4
602453,0.0,0,3,11,0,0,2
252893,3.29,0,9,13,4,2,5
182820,5.01,0,3,6,13,3,5
581271,1.2,0,2,9,9,1,4
563424,0.0,0,3,10,6,2,4
417441,5.93,0,3,8,24,3,5
271623,4.68,0,9,5,16,2,6
103978,4.77,0,5,14,8,1,5
575586,2.53,0,3,19,11,2,7
333051,4.81,0,3,8,7,1,3
168476,5.99,0,11,9,34,2,11
346157,3.54,0,3,7,17,2,5
283948,4.47,0,3,5,30,4,7
400476,4.71,0,12,4,9,3,5
403870,4.78,0,3,12,18,1,4
575360,2.8,0,3,10,18,2,5
195372,3.52,0,3,11,21,2,5
459677,3.55,0,3,10,11,1,3
573760,0.0,0,12,5,10,1,4
98695,5.1,0,12,4,29,4,9
175207,5.12,0,15,2,12,3,5
572480,0.0,0,20,28,0,0,7
219219,2.85,0,5,5,25,3,7
558494,0.0,0,3,9,4,2,3
412330,5.63,0,3,8,22,2,4
260825,3.68,0,3,8,15,1,4
459919,3.04,1,3,10,90,4,16
147645,5.27,0,3,5,10,2,3
511397,6.87,0,10,6,23,3,6
380406,2.93,0,3,13,8,1,4
45086,4.52,0,3,10,20,2,5
423198,4.27,0,3,14,17,2,5
246949,3.53,0,3,10,22,2,5
99108,5.77,0,5,3,16,4,6
287101,6.09,0,3,9,33,7,11
330391,2.49,0,3,10,7,1,3
125795,4.89,0,3,7,29,2,6
324360,0.0,0,10,11,6,2,4
358387,2.51,0,3,5,10,2,5
184276,3.6,0,2,7,19,2,5
59611,4.86,0,3,9,15,2,4
589439,0.0,0,10,14,11,1,5
323306,5.74,0,3,9,21,3,5
348982,2.27,0,3,12,18,1,6
166119,2.93,0,3,9,13,1,4
61320,3.82,0,3,16,8,1,4
72826,4.53,0,3,10,19,2,5
113536,4.65,0,9,5,25,3,8
171260,3.2,0,3,9,23,3,6
424677,4.86,0,3,7,22,2,5
106211,4.83,0,5,2,20,2,6
255124,4.62,0,3,12,17,2,5
235162,2.49,0,4,10,6,1,3
563214,2.58,0,2,8,11,2,4
590772,2.78,0,3,15,15,2,5
139875,4.72,0,3,3,19,3,4
114476,2.78,0,3,7,14,2,5
434070,3.29,0,2,7,19,2,6
133398,5.72,0,13,4,10,2,5
269061,2.77,0,3,24,12,1,5
5554,3.81,0,3,15,11,1,3
150498,2.08,0,11,8,8,1,5
61124,4.85,0,12,5,9,2,5
103208,4.32,0,3,8,8,2,4
292219,3.91,0,3,9,15,1,5
152985,5.74,0,3,9,24,3,5
208596,6.51,0,6,3,17,2,4
223448,3.86,0,13,4,20,2,7
222073,4.23,0,8,6,8,2,4
511065,4.55,0,3,6,12,1,4
573204,3.2,0,3,5,20,3,6
589751,2.61,0,3,10,17,1,4
45133,4.64,0,3,3,14,1,4
54415,5.62,0,3,6,18,4,6
71070,2.91,0,3,16,13,1,4
347468,4.61,0,4,4,5,2,3
108528,7.93,0,9,2,33,4,8
312809,4.67,0,3,7,18,3,7
459077,5.08,0,11,4,22,3,6
138276,2.23,0,2,7,8,1,4
409157,3.61,0,10,12,10,1,4
83131,3.84,0,3,10,21,2,5
247500,5.69,0,3,3,12,2,4
31869,3.45,0,3,10,13,3,5
455655,4.71,0,5,5,18,2,5
471894,4.52,0,3,14,10,1,4
352563,4.57,0,3,13,18,2,5
80374,4.53,0,3,9,10,1,4
473138,4.57,0,7,6,19,4,7
104600,3.73,0,3,8,28,2,5
556781,2.78,0,3,8,11,4,6
577746,0.0,0,3,5,7,2,4
442998,5.13,0,7,3,19,3,7
494292,4.2,0,13,6,10,2,6
423917,3.32,0,3,9,6,1,3
279521,5.55,0,3,8,39,4,6
29937,2.77,0,3,6,9,2,3
588097,3.29,0,3,8,11,3,5
124531,2.7,0,3,12,11,1,3
404071,3.72,0,3,5,9,2,3
404962,5.64,0,3,8,16,2,4
353613,5.03,0,3,15,11,2,4
493071,4.4,0,3,13,18,2,5
62938,5.35,0,12,9,7,2,6
367218,4.81,0,6,3,11,4,6
307054,4.75,0,3,12,13,3,5
324681,5.29,0,3,3,25,2,5
155646,5.2,0,3,3,10,1,3
301384,3.65,0,3,6,15,3,5
279005,3.37,0,3,11,15,2,4
589142,0.0,0,6,8,9,1,5
339349,3.42,0,3,14,18,2,5
204637,3.68,0,3,10,17,1,6
103780,4.22,0,3,7,22,3,6
63665,2.88,0,3,7,14,2,5
334876,2.65,0,3,6,13,1,5
6714,4.57,0,10,2,5,2,5
176358,2.64,0,2,8,21,2,5
16104,3.0,0,10,7,11,3,5
40467,3.31,0,3,17,10,2,4
422790,2.98,0,14,4,36,4,9
164767,2.88,0,3,10,14,2,4
567214,3.25,0,6,15,13,2,6
102571,2.56,0,3,12,8,1,5
327376,5.51,0,3,6,19,4,7
146378,4.53,0,3,6,6,1,3
566724,1.79,0,6,3,17,2,6
69383,4.99,0,8,2,24,3,7
368298,4.99,0,3,4,30,4,8
557198,4.99,0,6,5,8,2,5
199558,3.49,0,3,11,16,2,4
173781,4.64,0,3,9,11,3,5
365789,2.68,0,3,20,5,2,4
227553,4.63,0,5,4,19,2,7
826,2.68,0,13,11,7,2,6
146118,2.83,0,3,8,18,1,6
389688,5.74,0,3,8,31,5,8
431196,4.86,0,8,6,17,2,6
211768,4.26,0,3,8,19,2,5
215403,2.14,0,2,5,17,2,5
445979,3.34,0,3,7,22,2,5
416363,5.12,0,7,7,13,2,5
493099,5.09,0,6,3,30,3,8
562491,2.88,0,6,10,18,2,6
98363,2.71,0,2,7,15,3,5
506065,5.12,0,7,7,8,2,4
289769,4.08,0,3,7,13,2,5
357423,3.33,0,3,14,8,2,4
232257,0.0,0,3,16,21,3,5
372069,4.72,0,3,8,22,2,6
381932,4.66,0,3,4,17,3,5
292407,7.89,0,10,5,29,3,6
79876,4.57,0,6,1,36,5,9
396114,2.89,0,3,8,8,3,4
385647,4.27,0,3,14,17,2,5
564435,2.39,0,3,7,7,1,3
277853,5.08,0,3,3,20,2,7
566539,0.0,0,3,16,0,0,2
104102,4.55,0,3,9,17,2,5
590347,0.0,0,17,3,0,0,3
232253,4.89,0,8,4,5,2,4
152696,4.26,0,3,8,38,2,8
102138,5.37,0,5,5,23,2,9
518101,3.61,0,9,4,15,1,6
40438,5.59,0,7,4,39,5,10
385017,4.57,0,12,4,34,4,9
9596,2.64,0,3,16,12,1,5
600535,0.0,0,128,5,0,0,11
432411,5.63,0,3,8,7,2,3
508964,4.01,0,3,17,19,1,5
61271,7.29,0,3,3,26,5,7
34792,4.31,0,3,12,19,3,5
459742,0.32,1,2,4,81,5,17
298827,4.13,0,3,7,18,2,5
347651,5.72,0,13,4,21,2,6
270549,3.5,0,3,5,11,1,5
3521,4.52,0,3,11,18,2,5
407783,2.68,0,3,6,10,1,4
137650,4.53,0,3,12,14,2,5
85986,5.06,0,8,3,27,4,8
33504,5.14,0,3,13,21,2,5
497304,3.68,0,3,10,15,1,5
559956,5.67,0,11,4,16,2,6
416286,3.98,0,15,4,25,3,6
343034,3.49,0,3,6,35,4,7
272004,4.56,0,12,5,27,4,9
484249,2.85,0,3,15,16,1,4
363307,4.99,0,3,4,30,4,8
430184,2.61,0,10,7,4,2,4
577792,0.0,0,14,13,0,0,5
590115,2.75,0,5,10,15,2,6
278513,5.59,0,3,4,21,2,5
380838,5.11,0,9,3,11,3,6
556059,3.2,0,3,8,27,3,7
46416,3.42,0,3,19,21,2,5
515434,7.26,0,3,5,52,4,9
96551,3.71,0,3,8,20,3,5
459792,3.89,1,3,12,80,5,12
213860,2.53,0,3,13,11,2,6
335363,2.56,0,3,7,12,1,3
40169,4.72,0,3,8,22,2,6
20321,5.31,0,8,7,12,2,4
601346,0.0,0,10,7,0,0,4
221352,4.28,0,3,12,11,2,3
216330,5.09,0,13,7,9,2,5
93432,2.86,0,10,8,11,1,4
162895,5.29,0,3,11,37,4,8
563330,2.6,0,2,4,6,2,4
468866,5.74,0,3,9,23,3,5
482264,4.79,0,3,5,7,2,3
281467,5.22,0,5,9,23,2,8
268636,3.2,0,3,8,22,1,5
348682,5.2,0,3,3,43,4,8
227982,3.09,0,3,4,12,1,4
97824,3.11,0,3,8,13,1,4
149566,4.38,0,6,3,20,2,7
498348,5.02,0,7,4,3,2,4
241096,3.97,0,9,4,8,2,4
296625,4.72,0,11,5,7,2,4
78115,3.5,0,3,11,21,2,5
193995,2.96,0,5,5,9,2,4
29969,3.76,0,3,13,20,3,7
487698,4.75,0,10,4,23,2,7
226732,4.9,0,9,4,38,3,9
251774,2.32,0,3,10,20,1,6
181977,6.34,0,3,3,26,2,6
73953,2.68,0,11,6,6,2,4
434314,6.56,0,3,3,31,4,7
65415,5.06,0,3,4,61,4,10
15813,4.26,0,3,5,17,3,5
127391,4.64,0,3,6,16,2,5
334898,3.3,0,3,9,22,1,6
569216,0.0,0,6,5,0,0,4
84523,2.88,0,3,6,17,1,4
602157,2.71,0,3,19,6,2,4
471654,3.76,0,3,16,9,2,4
246063,4.36,0,3,13,18,3,7
69295,5.43,0,7,3,8,2,4
45933,6.57,0,3,3,15,1,3
362209,2.68,0,3,7,18,1,6
111839,4.66,0,3,6,18,2,4
210251,3.23,0,3,12,16,2,5
393006,2.17,0,5,11,10,2,6
319649,4.9,0,12,5,8,2,5
135068,2.98,0,3,6,23,2,5
164359,4.53,0,3,9,15,1,5
425887,4.6,0,18,3,17,3,8
325270,5.07,0,7,2,45,4,9
558024,2.78,0,3,8,16,2,6
219982,4.75,0,7,7,21,2,7
104501,4.75,0,7,4,29,4,9
496142,5.28,0,3,11,15,3,5
483307,3.78,0,3,4,33,3,7
157316,3.58,0,3,6,27,4,6
76380,3.59,0,9,4,19,2,7
192515,4.79,0,13,7,22,2,5
589440,0.0,0,10,14,12,1,5
322245,3.29,0,3,9,15,2,5
556841,0.0,0,3,13,0,0,2
227792,0.0,1,3,7,85,7,17
563289,0.0,0,14,8,0,0,2
370474,4.85,0,12,2,12,3,5
394699,1.37,0,3,9,14,1,4
102915,5.26,0,7,5,9,2,4
237535,3.88,0,3,6,11,2,4
487905,4.56,0,10,7,26,3,6
492315,4.57,0,10,5,17,2,5
475120,5.11,0,5,4,20,2,6
54155,5.32,0,3,11,25,4,7
211869,3.24,0,2,8,18,2,5
82818,4.84,0,12,4,27,3,8
44422,5.74,0,3,9,18,3,5
588214,5.0,0,8,2,53,6,13
202104,4.65,0,3,11,18,3,5
565210,0.0,0,5,10,9,1,5
109665,4.35,0,13,3,20,2,8
281353,0.0,0,10,14,9,1,4
61710,2.53,0,3,11,17,2,5
342586,6.31,0,5,8,43,5,9
98516,4.84,0,3,11,9,2,3
367816,5.59,0,3,4,19,2,5
203665,2.65,0,3,7,20,4,6
143166,5.26,0,9,6,5,1,3
428470,4.54,0,9,6,7,2,4
114585,2.6,0,6,6,10,1,4
9507,2.62,0,3,7,11,1,4
573889,2.11,0,3,11,9,1,4
373024,2.7,0,3,8,16,1,4
147069,4.74,0,3,2,18,4,6
248440,2.83,0,3,10,11,2,4
594093,0.0,0,9,18,0,0,3
6382,4.64,0,3,8,22,3,6
567979,0.0,0,11,4,10,1,4
516875,4.96,0,15,7,22,4,8
348676,4.88,0,3,6,22,2,6
209120,3.95,0,3,11,14,2,4
28762,5.49,0,3,4,21,2,5
450539,3.58,0,3,6,12,2,4
417320,5.09,0,11,3,27,3,9
197873,3.37,0,12,5,15,3,6
375714,1.92,0,3,12,11,1,4
139993,4.73,0,3,5,23,4,6
210388,4.62,0,10,2,40,4,10
224538,2.59,0,3,7,12,1,5
227774,5.4,0,3,6,20,3,6
440078,4.68,0,3,19,10,2,4
478608,2.77,0,3,16,12,1,4
576959,2.03,0,2,11,5,2,4
467570,4.28,0,2,5,13,3,5
310302,5.58,0,9,6,36,4,8
203035,4.62,0,7,3,12,1,5
565917,4.61,0,2,9,9,2,4
439154,2.61,0,2,4,15,1,4
50610,5.35,0,3,11,7,2,4
558431,4.05,0,6,5,17,2,7
203913,5.44,0,6,4,28,4,8
180913,2.51,0,3,9,19,2,4
346139,4.59,0,12,4,15,3,8
347953,4.78,0,5,6,10,2,5
119395,5.15,0,10,7,17,4,7
353231,2.94,1,2,3,120,7,17
563461,0.0,0,2,6,7,1,4
63667,4.96,0,9,7,6,2,4
456512,4.53,0,3,15,12,1,4
221408,3.4,0,3,12,19,2,5
497652,1.61,0,3,9,8,2,4
199520,4.92,0,3,5,19,2,5
491312,4.74,0,3,12,13,2,3
478310,4.54,0,3,6,14,1,4
84962,4.55,0,3,6,17,3,5
212384,4.69,0,3,6,14,2,7
268137,3.84,0,3,16,12,1,5
389219,3.8,0,3,11,11,1,4
574559,2.65,0,6,6,19,3,7
461133,2.26,0,3,5,8,1,3
449244,4.2,0,3,15,15,2,5
342345,7.56,0,11,4,9,2,5
407923,2.53,0,3,10,14,2,4
241553,4.1,0,3,12,13,1,5
268180,2.47,0,10,8,9,2,4
315679,4.55,0,3,6,41,4,8
563381,3.3,0,3,13,22,3,5
131673,5.1,0,3,4,26,3,5
479958,5.72,0,13,4,24,2,7
245356,4.85,0,7,7,23,3,6
462949,6.2,0,3,7,33,4,7
258710,4.92,0,6,13,12,2,6
345051,4.99,0,3,5,14,3,5
586938,0.0,0,3,8,0,0,3
9788,2.93,0,3,8,15,3,5
448231,4.71,0,3,8,10,1,3
110286,2.48,0,3,15,12,1,5
41779,3.46,0,3,12,15,2,4
459557,0.0,1,2,3,142,9,23
572651,0.0,0,3,8,29,4,6
307456,2.53,0,3,12,8,2,4
421000,3.72,0,2,6,30,4,6
572263,3.0,0,3,10,11,1,4
357202,5.08,0,9,3,20,3,7
502605,4.6,0,3,9,17,2,4
350634,3.51,0,18,5,35,4,9
494043,2.93,0,2,5,19,2,8
462262,4.9,0,12,7,12,2,5
293743,4.8,0,14,2,26,5,9
149555,4.81,0,15,2,10,3,5
562440,1.91,0,3,8,16,2,5
345275,3.27,0,3,10,26,2,5
276543,4.71,0,3,12,20,3,5
174025,4.53,0,3,18,19,2,4
572760,2.91,0,3,7,34,4,7
38052,5.51,0,3,6,23,2,7
73364,4.75,0,6,3,22,2,6
478439,4.43,0,3,3,8,1,4
559409,0.0,0,5,9,0,0,2
403794,4.76,0,3,6,25,4,7
602533,0.0,0,14,16,0,0,2
555321,2.55,0,3,7,4,2,5
287243,5.45,0,3,10,18,2,6
339039,5.01,0,3,3,31,3,7
278444,5.63,0,3,8,21,2,4
152446,5.22,0,7,6,42,5,10
487229,4.32,0,3,13,11,2,4
451197,2.16,0,3,7,13,1,4
601764,1.42,0,3,9,14,1,4
45675,5.45,0,13,4,19,3,5
244524,5.74,0,3,9,14,3,6
116190,5.01,0,6,6,9,1,4
375797,3.69,0,3,5,29,3,6
283004,3.98,0,3,8,28,3,6
342832,5.74,0,3,9,20,3,5
141826,4.55,0,10,9,16,2,7
247817,3.54,0,3,11,21,2,5
95694,2.92,0,3,11,15,1,5
494114,4.93,0,11,8,20,4,6
49724,5.58,0,9,6,20,3,5
129779,4.58,0,3,8,9,1,4
407679,4.72,0,13,5,22,2,6
578609,0.0,0,3,16,0,0,2
393769,5.0,0,3,4,42,4,6
46603,4.54,0,3,10,9,2,4
485818,5.81,0,3,8,36,4,8
499592,4.73,0,3,12,13,3,5
162030,4.18,0,3,3,15,1,3
28979,3.22,0,3,18,19,2,5
431372,5.48,0,3,5,9,2,4
587315,3.54,0,3,12,5,2,4
349221,2.4,0,3,8,16,1,4
572879,2.92,0,3,17,13,1,4
556694,2.25,0,3,11,7,2,3
250299,4.32,0,11,3,6,2,5
459927,1.37,1,2,4,183,7,41
64760,4.77,0,3,6,54,7,12
191355,2.78,0,3,10,10,2,4
360194,4.67,0,8,4,11,3,5
492588,2.79,0,3,12,18,1,5
232568,0.0,0,3,4,12,1,4
447427,3.6,0,3,11,6,1,4
323408,2.88,0,3,7,12,2,3
21296,4.54,0,3,8,23,2,5
344951,5.12,0,7,5,13,3,5
414799,3.7,0,2,6,9,1,3
276002,3.29,0,3,4,8,2,4
377720,4.63,0,3,8,30,3,6
337551,2.32,0,3,27,10,1,3
85687,4.53,0,3,8,18,2,5
100204,3.34,0,3,11,13,3,5
482825,4.75,0,7,4,26,4,8
330400,3.85,0,3,5,25,2,5
51242,4.52,0,3,12,16,3,5
141555,5.38,0,3,15,12,2,5
565002,2.7,0,3,12,9,1,4
560867,0.0,0,3,6,18,3,6
29007,5.72,0,13,4,40,3,7
396213,4.29,0,3,8,15,1,5
558875,3.3,0,15,3,0,0,2
188802,4.23,0,3,12,21,3,6
8932,5.72,0,13,4,14,2,6
5628,4.57,0,9,4,19,2,6
407779,3.28,0,3,11,12,1,4
389,2.0,0,10,5,20,2,4
222517,4.91,0,3,8,14,2,5
223581,2.07,0,3,8,11,2,4
444699,3.56,0,2,3,32,4,7
485667,4.7,0,3,10,11,1,5
302227,4.72,0,3,9,25,2,6
7781,4.76,0,3,6,26,4,7
339258,4.48,0,3,10,13,2,4
447762,3.26,0,3,5,20,2,5
84510,5.63,0,3,8,24,2,4
478350,4.73,0,3,5,7,1,4
457820,4.62,0,3,11,9,1,4
146362,5.74,0,3,9,19,3,5
52502,4.6,0,11,4,24,3,7
556182,5.67,0,11,4,19,2,6
34418,5.65,0,3,12,15,2,5
41202,10.0,1,3,7,78,7,18
559592,3.1,0,6,4,19,2,9
110996,5.69,0,3,17,12,1,4
577258,1.32,0,3,9,11,2,6
146767,4.83,0,3,6,30,2,6
436942,4.54,0,3,12,21,2,7
566529,0.0,0,0,27,0,0,3
331350,2.26,0,3,8,12,1,4
233793,3.51,0,3,11,10,2,4
16060,4.59,0,9,5,22,4,8
568820,0.0,0,10,10,10,1,4
513514,4.61,0,3,14,12,1,4
350416,2.36,0,3,13,7,1,5
601785,2.54,0,2,6,10,1,5
114400,4.24,0,3,8,12,3,5
54217,4.6,0,3,6,16,2,5
160200,3.97,0,2,6,30,3,7
450681,1.82,0,2,4,12,1,4
